1686389005.2685966 Coordinates x=762 px, y=274 px
1686389005.2874703 Coordinates x=784 px, y=275 px
1686389005.303485 Coordinates x=784 px, y=275 px
1686389005.3187323 Coordinates x=796 px, y=272 px
1686389005.3343823 Coordinates x=796 px, y=272 px
1686389005.349505 Coordinates x=798 px, y=273 px
1686389005.3651125 Coordinates x=798 px, y=273 px
1686389005.3807554 Coordinates x=800 px, y=273 px
1686389005.3961709 Coordinates x=800 px, y=273 px
1686389005.4120085 Coordinates x=870 px, y=282 px
1686389005.428294 Coordinates x=870 px, y=282 px
1686389005.443859 Coordinates x=951 px, y=305 px
1686389005.4593217 Coordinates x=951 px, y=305 px
1686389005.474377 Coordinates x=951 px, y=305 px
1686389005.489824 Coordinates x=1010 px, y=320 px
1686389005.5055547 Coordinates x=1010 px, y=320 px
1686389005.5207994 Coordinates x=1031 px, y=338 px
1686389005.5364673 Coordinates x=1031 px, y=338 px
1686389005.551921 Coordinates x=1043 px, y=347 px
1686389005.567619 Coordinates x=1043 px, y=347 px
1686389005.583887 Coordinates x=1049 px, y=349 px
1686389005.5994213 Coordinates x=1049 px, y=349 px
1686389005.614663 Coordinates x=1053 px, y=352 px
1686389005.6303554 Coordinates x=1053 px, y=352 px
1686389005.6461146 Coordinates x=1053 px, y=352 px
1686389005.6613443 Coordinates x=1054 px, y=354 px
1686389005.6770234 Coordinates x=1054 px, y=354 px
1686389005.6922429 Coordinates x=1054 px, y=354 px
1686389005.7085245 Coordinates x=1054 px, y=354 px
1686389005.7233386 Coordinates x=1058 px, y=357 px
1686389005.7388961 Coordinates x=1058 px, y=357 px
1686389005.7547853 Coordinates x=1062 px, y=359 px
1686389005.7699401 Coordinates x=1062 px, y=359 px
1686389005.7851603 Coordinates x=479 px, y=367 px
1686389005.8004124 Coordinates x=479 px, y=367 px
1686389005.8161635 Coordinates x=68 px, y=259 px
1686389005.831293 Coordinates x=68 px, y=259 px
1686389005.8471408 Coordinates x=47 px, y=229 px
1686389005.8620665 Coordinates x=47 px, y=229 px
1686389005.877803 Coordinates x=30 px, y=176 px
