1686397806.5685508 Coordinates x=13 px, y=931 px
1686397806.5936303 Coordinates x=12 px, y=931 px
1686397806.6096818 Coordinates x=12 px, y=931 px
1686397806.6253183 Coordinates x=12 px, y=931 px
1686397806.6413171 Coordinates x=12 px, y=931 px
1686397806.6562629 Coordinates x=456 px, y=931 px
1686397806.6713984 Coordinates x=456 px, y=931 px
1686397806.6873531 Coordinates x=574 px, y=888 px
1686397806.703442 Coordinates x=574 px, y=888 px
1686397806.7191813 Coordinates x=676 px, y=855 px
1686397806.734566 Coordinates x=676 px, y=855 px
1686397806.7499828 Coordinates x=716 px, y=834 px
1686397806.7660742 Coordinates x=716 px, y=834 px
1686397806.7820933 Coordinates x=735 px, y=815 px
1686397806.7971969 Coordinates x=735 px, y=815 px
1686397806.8129475 Coordinates x=735 px, y=815 px
1686397806.8282094 Coordinates x=755 px, y=799 px
1686397806.843818 Coordinates x=755 px, y=799 px
1686397806.8590546 Coordinates x=776 px, y=794 px
1686397806.8749526 Coordinates x=776 px, y=794 px
1686397806.8904417 Coordinates x=820 px, y=790 px
1686397806.9065316 Coordinates x=820 px, y=790 px
1686397806.9220836 Coordinates x=971 px, y=780 px
1686397806.9373624 Coordinates x=971 px, y=780 px
1686397806.952887 Coordinates x=1102 px, y=784 px
1686397806.9688747 Coordinates x=1102 px, y=784 px
1686397806.984792 Coordinates x=1150 px, y=788 px
1686397807.0008712 Coordinates x=1150 px, y=788 px
1686397807.016488 Coordinates x=1213 px, y=800 px
1686397807.0323231 Coordinates x=1213 px, y=800 px
1686397807.0477006 Coordinates x=1238 px, y=806 px
1686397807.063059 Coordinates x=1238 px, y=806 px
1686397807.0790994 Coordinates x=1264 px, y=828 px
1686397807.0950282 Coordinates x=1264 px, y=828 px
1686397807.1105812 Coordinates x=1264 px, y=828 px
1686397807.1262703 Coordinates x=1282 px, y=839 px
1686397807.1423275 Coordinates x=1282 px, y=839 px
1686397807.158336 Coordinates x=1298 px, y=844 px
1686397807.1743388 Coordinates x=1298 px, y=844 px
1686397807.190333 Coordinates x=1308 px, y=840 px
1686397807.206307 Coordinates x=1308 px, y=840 px
1686397807.2221844 Coordinates x=1315 px, y=839 px
1686397807.2371986 Coordinates x=1315 px, y=839 px
1686397807.2528179 Coordinates x=1318 px, y=838 px
1686397807.268804 Coordinates x=1318 px, y=838 px
1686397807.2842536 Coordinates x=941 px, y=624 px
1686397807.300248 Coordinates x=941 px, y=624 px
1686397807.3154101 Coordinates x=817 px, y=564 px
1686397807.3315096 Coordinates x=817 px, y=564 px
1686397807.347266 Coordinates x=750 px, y=540 px
1686397807.3624258 Coordinates x=750 px, y=540 px
1686397807.3783977 Coordinates x=389 px, y=457 px
1686397807.3939943 Coordinates x=389 px, y=457 px
1686397807.4100826 Coordinates x=389 px, y=457 px
1686397807.4255068 Coordinates x=361 px, y=458 px
1686397807.441052 Coordinates x=361 px, y=458 px
1686397807.4564223 Coordinates x=349 px, y=462 px
1686397807.4724388 Coordinates x=349 px, y=462 px
1686397807.4881828 Coordinates x=336 px, y=465 px
1686397807.5035286 Coordinates x=336 px, y=465 px
1686397807.5190804 Coordinates x=316 px, y=465 px
1686397807.5351796 Coordinates x=316 px, y=465 px
1686397807.5511825 Coordinates x=275 px, y=468 px
1686397807.5670645 Coordinates x=275 px, y=468 px
1686397807.5831122 Coordinates x=254 px, y=470 px
1686397807.5988736 Coordinates x=254 px, y=470 px
1686397807.6140904 Coordinates x=254 px, y=470 px
1686397807.6293228 Coordinates x=248 px, y=470 px
1686397807.6447065 Coordinates x=248 px, y=470 px
1686397807.659914 Coordinates x=242 px, y=470 px
1686397807.6760936 Coordinates x=242 px, y=470 px
1686397807.6916907 Coordinates x=237 px, y=472 px
1686397807.707667 Coordinates x=237 px, y=472 px
1686397807.7225268 Coordinates x=227 px, y=478 px
1686397807.7380664 Coordinates x=227 px, y=478 px
1686397807.7533576 Coordinates x=219 px, y=484 px
1686397807.7686303 Coordinates x=219 px, y=484 px
1686397807.7835357 Coordinates x=209 px, y=487 px
1686397807.7990973 Coordinates x=209 px, y=487 px
1686397807.814084 Coordinates x=203 px, y=489 px
1686397807.8301017 Coordinates x=203 px, y=489 px
1686397807.8449838 Coordinates x=203 px, y=489 px
1686397807.8605003 Coordinates x=200 px, y=490 px
1686397807.87589 Coordinates x=200 px, y=490 px
1686397807.8913717 Coordinates x=193 px, y=492 px
1686397807.9067786 Coordinates x=193 px, y=492 px
1686397807.9226255 Coordinates x=191 px, y=493 px
1686397807.9382002 Coordinates x=191 px, y=493 px
1686397807.9542933 Coordinates x=193 px, y=494 px
1686397807.9701385 Coordinates x=193 px, y=494 px
1686397807.9863396 Coordinates x=208 px, y=502 px
1686397808.0014026 Coordinates x=208 px, y=502 px
1686397808.0173473 Coordinates x=228 px, y=509 px
1686397808.033645 Coordinates x=228 px, y=509 px
1686397808.0488625 Coordinates x=239 px, y=513 px
1686397808.0643365 Coordinates x=239 px, y=513 px
1686397808.0805988 Coordinates x=239 px, y=513 px
1686397808.0957394 Coordinates x=247 px, y=516 px
1686397808.1109827 Coordinates x=247 px, y=516 px
1686397808.1266851 Coordinates x=253 px, y=518 px
1686397808.142763 Coordinates x=253 px, y=518 px
1686397808.1579025 Coordinates x=272 px, y=522 px
1686397808.173829 Coordinates x=272 px, y=522 px
1686397808.1890042 Coordinates x=325 px, y=522 px
1686397808.2040765 Coordinates x=325 px, y=522 px
1686397808.2198775 Coordinates x=394 px, y=514 px
1686397808.2357364 Coordinates x=394 px, y=514 px
1686397808.2517493 Coordinates x=419 px, y=513 px
1686397808.2677724 Coordinates x=419 px, y=513 px
1686397808.2834735 Coordinates x=436 px, y=514 px
1686397808.2983215 Coordinates x=436 px, y=514 px
1686397808.313659 Coordinates x=446 px, y=514 px
1686397808.3289387 Coordinates x=446 px, y=514 px
1686397808.344442 Coordinates x=446 px, y=514 px
1686397808.3599007 Coordinates x=466 px, y=514 px
1686397808.3752728 Coordinates x=466 px, y=514 px
1686397808.391021 Coordinates x=481 px, y=514 px
1686397808.4062924 Coordinates x=481 px, y=514 px
1686397808.4221075 Coordinates x=487 px, y=512 px
1686397808.4376996 Coordinates x=487 px, y=512 px
1686397808.4536276 Coordinates x=493 px, y=511 px
1686397808.4696352 Coordinates x=493 px, y=511 px
1686397808.4848485 Coordinates x=496 px, y=511 px
1686397808.500484 Coordinates x=496 px, y=511 px
1686397808.5158825 Coordinates x=500 px, y=511 px
1686397808.5317283 Coordinates x=500 px, y=511 px
1686397808.5473168 Coordinates x=500 px, y=511 px
1686397808.5626976 Coordinates x=508 px, y=505 px
1686397808.5782316 Coordinates x=517 px, y=499 px
1686397808.59369 Coordinates x=517 px, y=499 px
1686397808.6093855 Coordinates x=517 px, y=499 px
1686397808.6248696 Coordinates x=524 px, y=494 px
1686397808.6408494 Coordinates x=524 px, y=494 px
1686397808.656373 Coordinates x=529 px, y=489 px
1686397808.6716442 Coordinates x=529 px, y=489 px
1686397808.6874242 Coordinates x=534 px, y=477 px
1686397808.7032385 Coordinates x=534 px, y=477 px
1686397808.7188275 Coordinates x=535 px, y=467 px
1686397808.7346177 Coordinates x=535 px, y=467 px
1686397808.750265 Coordinates x=537 px, y=460 px
1686397808.7661493 Coordinates x=537 px, y=460 px
1686397808.7817543 Coordinates x=539 px, y=456 px
1686397808.7974565 Coordinates x=539 px, y=456 px
1686397808.8128698 Coordinates x=539 px, y=456 px
1686397808.8287776 Coordinates x=551 px, y=453 px
1686397808.844376 Coordinates x=551 px, y=453 px
1686397808.859346 Coordinates x=560 px, y=448 px
1686397808.8753407 Coordinates x=560 px, y=448 px
1686397808.8914235 Coordinates x=581 px, y=441 px
1686397808.907331 Coordinates x=581 px, y=441 px
1686397808.9226534 Coordinates x=604 px, y=437 px
1686397808.9382977 Coordinates x=604 px, y=437 px
1686397808.9538467 Coordinates x=623 px, y=440 px
1686397808.9695241 Coordinates x=623 px, y=440 px
1686397808.984547 Coordinates x=643 px, y=444 px
1686397808.9999285 Coordinates x=643 px, y=444 px
1686397809.0152314 Coordinates x=650 px, y=446 px
1686397809.0310767 Coordinates x=650 px, y=446 px
1686397809.0465748 Coordinates x=650 px, y=446 px
1686397809.0625308 Coordinates x=657 px, y=446 px
1686397809.0785398 Coordinates x=673 px, y=449 px
1686397809.0937507 Coordinates x=673 px, y=449 px
1686397809.110007 Coordinates x=673 px, y=449 px
1686397809.1257498 Coordinates x=721 px, y=458 px
1686397809.141921 Coordinates x=721 px, y=458 px
1686397809.1578276 Coordinates x=774 px, y=463 px
1686397809.1733584 Coordinates x=774 px, y=463 px
1686397809.1888316 Coordinates x=803 px, y=468 px
1686397809.2037346 Coordinates x=803 px, y=468 px
1686397809.2194934 Coordinates x=827 px, y=468 px
1686397809.235509 Coordinates x=827 px, y=468 px
1686397809.251673 Coordinates x=842 px, y=466 px
1686397809.2663155 Coordinates x=842 px, y=466 px
1686397809.2813325 Coordinates x=850 px, y=463 px
1686397809.2971623 Coordinates x=850 px, y=463 px
1686397809.3126245 Coordinates x=850 px, y=463 px
1686397809.3282633 Coordinates x=858 px, y=459 px
1686397809.343805 Coordinates x=858 px, y=459 px
1686397809.3591895 Coordinates x=859 px, y=458 px
1686397809.375291 Coordinates x=859 px, y=458 px
1686397809.3903675 Coordinates x=856 px, y=457 px
1686397809.406484 Coordinates x=856 px, y=457 px
1686397809.4221163 Coordinates x=840 px, y=450 px
1686397809.4382226 Coordinates x=840 px, y=450 px
1686397809.4542277 Coordinates x=825 px, y=444 px
1686397809.470223 Coordinates x=825 px, y=444 px
1686397809.4862218 Coordinates x=810 px, y=439 px
1686397809.5021236 Coordinates x=810 px, y=439 px
1686397809.5181506 Coordinates x=797 px, y=433 px
1686397809.533883 Coordinates x=797 px, y=433 px
1686397809.549982 Coordinates x=790 px, y=431 px
1686397809.5657182 Coordinates x=790 px, y=431 px
1686397809.5817134 Coordinates x=753 px, y=426 px
1686397809.5977147 Coordinates x=753 px, y=426 px
1686397809.6137595 Coordinates x=753 px, y=426 px
1686397809.6292558 Coordinates x=715 px, y=418 px
1686397809.6448586 Coordinates x=705 px, y=418 px
1686397809.6606405 Coordinates x=705 px, y=418 px
1686397809.6766412 Coordinates x=680 px, y=421 px
1686397809.6926277 Coordinates x=680 px, y=421 px
1686397809.7083476 Coordinates x=680 px, y=421 px
1686397809.7234917 Coordinates x=654 px, y=417 px
1686397809.7395208 Coordinates x=654 px, y=417 px
1686397809.7554972 Coordinates x=639 px, y=415 px
1686397809.7714946 Coordinates x=639 px, y=415 px
1686397809.7869258 Coordinates x=629 px, y=414 px
1686397809.8027587 Coordinates x=629 px, y=414 px
1686397809.8175552 Coordinates x=621 px, y=410 px
1686397809.8336632 Coordinates x=621 px, y=410 px
1686397809.8492055 Coordinates x=611 px, y=407 px
1686397809.8644516 Coordinates x=611 px, y=407 px
1686397809.8792143 Coordinates x=599 px, y=404 px
1686397809.894354 Coordinates x=599 px, y=404 px
1686397809.9098547 Coordinates x=599 px, y=404 px
1686397809.9259486 Coordinates x=616 px, y=402 px
1686397809.9417427 Coordinates x=616 px, y=402 px
1686397809.9570868 Coordinates x=714 px, y=398 px
1686397809.9730859 Coordinates x=714 px, y=398 px
1686397809.988682 Coordinates x=796 px, y=402 px
1686397810.0043838 Coordinates x=796 px, y=402 px
1686397810.019663 Coordinates x=845 px, y=403 px
1686397810.035344 Coordinates x=845 px, y=403 px
1686397810.0510347 Coordinates x=886 px, y=401 px
1686397810.0664537 Coordinates x=886 px, y=401 px
1686397810.0816956 Coordinates x=886 px, y=401 px
1686397810.0969784 Coordinates x=913 px, y=406 px
1686397810.1132812 Coordinates x=913 px, y=406 px
1686397810.1284518 Coordinates x=926 px, y=409 px
1686397810.1443436 Coordinates x=926 px, y=409 px
1686397810.160243 Coordinates x=977 px, y=413 px
1686397810.1763759 Coordinates x=977 px, y=413 px
1686397810.191453 Coordinates x=1058 px, y=421 px
1686397810.2063568 Coordinates x=1058 px, y=421 px
1686397810.2221 Coordinates x=1096 px, y=426 px
1686397810.237773 Coordinates x=1096 px, y=426 px
1686397810.2534645 Coordinates x=1134 px, y=432 px
1686397810.2692528 Coordinates x=1134 px, y=432 px
1686397810.284255 Coordinates x=1148 px, y=439 px
1686397810.299591 Coordinates x=1148 px, y=439 px
1686397810.3149424 Coordinates x=1179 px, y=449 px
1686397810.330778 Coordinates x=1179 px, y=449 px
1686397810.3459952 Coordinates x=1179 px, y=449 px
1686397810.3615873 Coordinates x=1190 px, y=451 px
1686397810.3768222 Coordinates x=1190 px, y=451 px
1686397810.392835 Coordinates x=1198 px, y=449 px
1686397810.4082382 Coordinates x=1198 px, y=449 px
1686397810.4237015 Coordinates x=1200 px, y=447 px
1686397810.4391897 Coordinates x=1200 px, y=447 px
1686397810.4550524 Coordinates x=1202 px, y=445 px
1686397810.470918 Coordinates x=1202 px, y=445 px
1686397810.4865994 Coordinates x=1202 px, y=441 px
1686397810.5026312 Coordinates x=1202 px, y=441 px
1686397810.517775 Coordinates x=1203 px, y=441 px
1686397810.533628 Coordinates x=1203 px, y=441 px
1686397810.549218 Coordinates x=1201 px, y=441 px
1686397810.5651298 Coordinates x=1201 px, y=441 px
1686397810.5805037 Coordinates x=1201 px, y=441 px
1686397810.5965955 Coordinates x=1201 px, y=441 px
1686397810.6115904 Coordinates x=1201 px, y=441 px
1686397810.6275563 Coordinates x=1201 px, y=441 px
1686397810.6433597 Coordinates x=1201 px, y=441 px
1686397810.6595495 Coordinates x=1208 px, y=442 px
1686397810.6746554 Coordinates x=1208 px, y=442 px
1686397810.6906128 Coordinates x=1228 px, y=440 px
1686397810.7066152 Coordinates x=1228 px, y=440 px
1686397810.723355 Coordinates x=1241 px, y=443 px
