1687079285.0231683 Coordinates x=123 px, y=943 px
1687079285.0427322 Coordinates x=123 px, y=943 px
1687079285.058826 Coordinates x=84 px, y=954 px
1687079285.0743241 Coordinates x=84 px, y=954 px
1687079285.09012 Coordinates x=72 px, y=956 px
1687079285.105173 Coordinates x=72 px, y=956 px
1687079285.1215982 Coordinates x=61 px, y=956 px
1687079285.1372604 Coordinates x=61 px, y=956 px
1687079285.1531534 Coordinates x=51 px, y=958 px
1687079285.1688688 Coordinates x=51 px, y=958 px
1687079285.1846366 Coordinates x=51 px, y=958 px
1687079285.2002947 Coordinates x=44 px, y=961 px
1687079285.2160962 Coordinates x=39 px, y=964 px
1687079285.2319982 Coordinates x=39 px, y=964 px
1687079285.2471557 Coordinates x=39 px, y=964 px
1687079285.2631776 Coordinates x=39 px, y=964 px
1687079285.2786684 Coordinates x=39 px, y=964 px
1687079285.294517 Coordinates x=217 px, y=899 px
1687079285.3105342 Coordinates x=217 px, y=899 px
1687079285.326409 Coordinates x=464 px, y=801 px
1687079285.34184 Coordinates x=464 px, y=801 px
1687079285.356527 Coordinates x=497 px, y=783 px
1687079285.3718686 Coordinates x=497 px, y=783 px
1687079285.3879364 Coordinates x=548 px, y=757 px
1687079285.4025297 Coordinates x=548 px, y=757 px
1687079285.4179597 Coordinates x=589 px, y=739 px
1687079285.4340534 Coordinates x=589 px, y=739 px
1687079285.4502227 Coordinates x=597 px, y=731 px
1687079285.465828 Coordinates x=597 px, y=731 px
1687079285.481205 Coordinates x=608 px, y=723 px
1687079285.4972563 Coordinates x=608 px, y=723 px
1687079285.5118423 Coordinates x=608 px, y=723 px
1687079285.5275438 Coordinates x=615 px, y=719 px
1687079285.5432508 Coordinates x=615 px, y=719 px
1687079285.5588481 Coordinates x=623 px, y=713 px
1687079285.5743043 Coordinates x=717 px, y=671 px
1687079285.5907612 Coordinates x=717 px, y=671 px
1687079285.6056654 Coordinates x=717 px, y=671 px
1687079285.6213455 Coordinates x=814 px, y=618 px
1687079285.6374626 Coordinates x=814 px, y=618 px
1687079285.653402 Coordinates x=855 px, y=599 px
1687079285.6693733 Coordinates x=855 px, y=599 px
1687079285.684898 Coordinates x=870 px, y=594 px
1687079285.7003694 Coordinates x=870 px, y=594 px
1687079285.7160513 Coordinates x=868 px, y=582 px
1687079285.7312102 Coordinates x=868 px, y=582 px
1687079285.7466474 Coordinates x=868 px, y=582 px
1687079285.7628648 Coordinates x=532 px, y=517 px
1687079285.7787127 Coordinates x=532 px, y=517 px
1687079285.7942631 Coordinates x=467 px, y=507 px
1687079285.8101063 Coordinates x=467 px, y=507 px
1687079285.8254368 Coordinates x=404 px, y=493 px
1687079285.8413825 Coordinates x=404 px, y=493 px
1687079285.8572462 Coordinates x=356 px, y=486 px
1687079285.8728244 Coordinates x=356 px, y=486 px
1687079285.8890133 Coordinates x=336 px, y=483 px
1687079285.9044805 Coordinates x=336 px, y=483 px
1687079285.9202266 Coordinates x=327 px, y=484 px
1687079285.9358075 Coordinates x=327 px, y=484 px
1687079285.9515214 Coordinates x=321 px, y=481 px
1687079285.9669 Coordinates x=321 px, y=481 px
1687079285.9825463 Coordinates x=302 px, y=472 px
1687079285.9982226 Coordinates x=302 px, y=472 px
1687079286.0143743 Coordinates x=302 px, y=472 px
1687079286.0292432 Coordinates x=296 px, y=466 px
1687079286.0452375 Coordinates x=296 px, y=466 px
1687079286.0612705 Coordinates x=276 px, y=459 px
1687079286.0768268 Coordinates x=276 px, y=459 px
1687079286.0929203 Coordinates x=276 px, y=459 px
1687079286.1089156 Coordinates x=260 px, y=455 px
1687079286.1248755 Coordinates x=260 px, y=455 px
1687079286.1408103 Coordinates x=260 px, y=455 px
1687079286.1568155 Coordinates x=270 px, y=455 px
1687079286.1718657 Coordinates x=270 px, y=455 px
1687079286.1871812 Coordinates x=330 px, y=454 px
1687079286.2031817 Coordinates x=330 px, y=454 px
1687079286.218635 Coordinates x=398 px, y=452 px
1687079286.234377 Coordinates x=398 px, y=452 px
1687079286.2496636 Coordinates x=422 px, y=449 px
1687079286.2649202 Coordinates x=422 px, y=449 px
1687079286.2799807 Coordinates x=422 px, y=449 px
1687079286.2960944 Coordinates x=422 px, y=449 px
1687079286.3120766 Coordinates x=444 px, y=442 px
1687079286.327561 Coordinates x=474 px, y=441 px
1687079286.3436773 Coordinates x=474 px, y=441 px
1687079286.3587353 Coordinates x=481 px, y=435 px
1687079286.3741593 Coordinates x=481 px, y=435 px
1687079286.3902452 Coordinates x=484 px, y=434 px
1687079286.405765 Coordinates x=484 px, y=434 px
1687079286.4211392 Coordinates x=490 px, y=433 px
1687079286.437073 Coordinates x=490 px, y=433 px
1687079286.4525464 Coordinates x=494 px, y=433 px
1687079286.4677851 Coordinates x=494 px, y=433 px
1687079286.4824862 Coordinates x=494 px, y=433 px
1687079286.4985316 Coordinates x=494 px, y=433 px
