1686393628.2548597 Coordinates x=800 px, y=480 px
1686393628.2759125 Coordinates x=800 px, y=480 px
1686393628.291425 Coordinates x=800 px, y=480 px
1686393628.3068633 Coordinates x=799 px, y=480 px
1686393628.3224905 Coordinates x=799 px, y=480 px
1686393628.338718 Coordinates x=799 px, y=480 px
1686393628.353889 Coordinates x=799 px, y=480 px
1686393628.369058 Coordinates x=799 px, y=480 px
1686393628.3844805 Coordinates x=800 px, y=478 px
1686393628.4000485 Coordinates x=800 px, y=478 px
1686393628.4152284 Coordinates x=804 px, y=472 px
1686393628.4308496 Coordinates x=804 px, y=472 px
1686393628.4459724 Coordinates x=805 px, y=471 px
1686393628.4614713 Coordinates x=805 px, y=471 px
1686393628.4771478 Coordinates x=809 px, y=467 px
1686393628.4923735 Coordinates x=809 px, y=467 px
1686393628.5082772 Coordinates x=811 px, y=465 px
1686393628.5242805 Coordinates x=811 px, y=465 px
1686393628.540214 Coordinates x=811 px, y=465 px
1686393628.556281 Coordinates x=811 px, y=465 px
1686393628.5716095 Coordinates x=810 px, y=464 px
1686393628.5873523 Coordinates x=810 px, y=464 px
1686393628.603159 Coordinates x=800 px, y=460 px
1686393628.6184082 Coordinates x=800 px, y=460 px
1686393628.6344118 Coordinates x=447 px, y=490 px
1686393628.650393 Coordinates x=447 px, y=490 px
1686393628.6663935 Coordinates x=366 px, y=507 px
1686393628.6824121 Coordinates x=366 px, y=507 px
1686393628.69801 Coordinates x=366 px, y=507 px
1686393628.7133527 Coordinates x=291 px, y=530 px
1686393628.7288792 Coordinates x=291 px, y=530 px
1686393628.7440305 Coordinates x=291 px, y=530 px
1686393628.7594876 Coordinates x=267 px, y=537 px
1686393628.774789 Coordinates x=263 px, y=540 px
1686393628.789943 Coordinates x=263 px, y=540 px
1686393628.8053365 Coordinates x=255 px, y=545 px
1686393628.8213062 Coordinates x=255 px, y=545 px
1686393628.8367224 Coordinates x=255 px, y=545 px
1686393628.8524399 Coordinates x=232 px, y=552 px
1686393628.8683894 Coordinates x=220 px, y=557 px
1686393628.8844604 Coordinates x=220 px, y=557 px
1686393628.9001274 Coordinates x=206 px, y=564 px
1686393628.9152982 Coordinates x=206 px, y=564 px
1686393628.931263 Coordinates x=206 px, y=564 px
1686393628.94695 Coordinates x=194 px, y=568 px
1686393628.9624038 Coordinates x=194 px, y=568 px
1686393628.9774513 Coordinates x=184 px, y=573 px
1686393628.9933045 Coordinates x=184 px, y=573 px
1686393629.008845 Coordinates x=180 px, y=575 px
1686393629.0243194 Coordinates x=180 px, y=575 px
1686393629.0400872 Coordinates x=180 px, y=577 px
1686393629.0549839 Coordinates x=180 px, y=577 px
1686393629.0709682 Coordinates x=182 px, y=577 px
1686393629.0861135 Coordinates x=182 px, y=577 px
1686393629.101404 Coordinates x=184 px, y=577 px
1686393629.117447 Coordinates x=184 px, y=577 px
1686393629.1322474 Coordinates x=184 px, y=577 px
1686393629.148152 Coordinates x=184 px, y=576 px
1686393629.1637897 Coordinates x=184 px, y=576 px
1686393629.1788094 Coordinates x=184 px, y=575 px
1686393629.1947422 Coordinates x=184 px, y=575 px
1686393629.2104075 Coordinates x=186 px, y=575 px
1686393629.2257931 Coordinates x=186 px, y=575 px
1686393629.2417881 Coordinates x=191 px, y=575 px
1686393629.2572927 Coordinates x=191 px, y=575 px
1686393629.2732902 Coordinates x=257 px, y=579 px
1686393629.2898233 Coordinates x=257 px, y=579 px
1686393629.3058407 Coordinates x=321 px, y=582 px
1686393629.3218381 Coordinates x=321 px, y=582 px
1686393629.3378406 Coordinates x=354 px, y=585 px
1686393629.3538358 Coordinates x=354 px, y=585 px
1686393629.3698409 Coordinates x=386 px, y=584 px
1686393629.3859727 Coordinates x=386 px, y=584 px
1686393629.4014242 Coordinates x=386 px, y=584 px
1686393629.4174368 Coordinates x=408 px, y=581 px
1686393629.4335074 Coordinates x=408 px, y=581 px
1686393629.4494321 Coordinates x=459 px, y=571 px
1686393629.465381 Coordinates x=518 px, y=550 px
1686393629.4814029 Coordinates x=518 px, y=550 px
1686393629.497488 Coordinates x=518 px, y=550 px
1686393629.5134878 Coordinates x=550 px, y=534 px
1686393629.5284863 Coordinates x=550 px, y=534 px
1686393629.5444837 Coordinates x=574 px, y=523 px
1686393629.560502 Coordinates x=574 px, y=523 px
1686393629.5764992 Coordinates x=595 px, y=511 px
1686393629.5920236 Coordinates x=595 px, y=511 px
1686393629.6080246 Coordinates x=616 px, y=497 px
1686393629.623261 Coordinates x=616 px, y=497 px
1686393629.6391306 Coordinates x=631 px, y=483 px
1686393629.6551485 Coordinates x=631 px, y=483 px
1686393629.6705806 Coordinates x=646 px, y=468 px
1686393629.686173 Coordinates x=646 px, y=468 px
1686393629.7014694 Coordinates x=664 px, y=450 px
1686393629.7171502 Coordinates x=664 px, y=450 px
1686393629.7322328 Coordinates x=664 px, y=450 px
1686393629.7478812 Coordinates x=677 px, y=434 px
1686393629.7631876 Coordinates x=677 px, y=434 px
1686393629.7784255 Coordinates x=686 px, y=425 px
1686393629.7942638 Coordinates x=686 px, y=425 px
1686393629.8094614 Coordinates x=698 px, y=414 px
1686393629.825153 Coordinates x=698 px, y=414 px
1686393629.8409705 Coordinates x=707 px, y=406 px
1686393629.8568954 Coordinates x=707 px, y=406 px
1686393629.87292 Coordinates x=707 px, y=400 px
1686393629.8888605 Coordinates x=707 px, y=400 px
1686393629.9040759 Coordinates x=699 px, y=395 px
1686393629.9202468 Coordinates x=699 px, y=395 px
1686393629.9351575 Coordinates x=692 px, y=393 px
1686393629.9503303 Coordinates x=692 px, y=393 px
1686393629.9665089 Coordinates x=692 px, y=393 px
1686393629.9821403 Coordinates x=678 px, y=399 px
1686393629.9975452 Coordinates x=663 px, y=414 px
1686393630.0124521 Coordinates x=663 px, y=414 px
1686393630.0286136 Coordinates x=663 px, y=414 px
1686393630.0436344 Coordinates x=657 px, y=420 px
1686393630.0593228 Coordinates x=657 px, y=420 px
1686393630.074583 Coordinates x=652 px, y=426 px
1686393630.0905116 Coordinates x=652 px, y=426 px
1686393630.1058962 Coordinates x=647 px, y=428 px
1686393630.1212723 Coordinates x=647 px, y=428 px
1686393630.1373727 Coordinates x=644 px, y=427 px
1686393630.152705 Coordinates x=644 px, y=427 px
1686393630.168902 Coordinates x=639 px, y=423 px
1686393630.1841 Coordinates x=639 px, y=423 px
1686393630.2001982 Coordinates x=639 px, y=417 px
1686393630.216185 Coordinates x=639 px, y=417 px
1686393630.2317247 Coordinates x=639 px, y=417 px
1686393630.2468886 Coordinates x=642 px, y=418 px
1686393630.2628381 Coordinates x=642 px, y=418 px
1686393630.2789407 Coordinates x=651 px, y=428 px
1686393630.2945716 Coordinates x=651 px, y=428 px
1686393630.310571 Coordinates x=664 px, y=443 px
1686393630.3255706 Coordinates x=664 px, y=443 px
1686393630.3415701 Coordinates x=682 px, y=460 px
1686393630.3565726 Coordinates x=682 px, y=460 px
1686393630.372572 Coordinates x=713 px, y=478 px
1686393630.3875864 Coordinates x=713 px, y=478 px
1686393630.4031134 Coordinates x=749 px, y=494 px
1686393630.4191139 Coordinates x=749 px, y=494 px
1686393630.4351122 Coordinates x=749 px, y=494 px
1686393630.45111 Coordinates x=798 px, y=496 px
1686393630.4671555 Coordinates x=822 px, y=495 px
1686393630.4823947 Coordinates x=822 px, y=495 px
1686393630.4984546 Coordinates x=822 px, y=495 px
1686393630.5144076 Coordinates x=833 px, y=495 px
1686393630.5304468 Coordinates x=833 px, y=495 px
1686393630.5463583 Coordinates x=845 px, y=494 px
1686393630.5619335 Coordinates x=845 px, y=494 px
1686393630.5781357 Coordinates x=910 px, y=484 px
1686393630.5937765 Coordinates x=910 px, y=484 px
1686393630.6093044 Coordinates x=967 px, y=472 px
1686393630.6244845 Coordinates x=967 px, y=472 px
1686393630.6397703 Coordinates x=1016 px, y=448 px
1686393630.6550121 Coordinates x=1016 px, y=448 px
1686393630.6704571 Coordinates x=1051 px, y=430 px
1686393630.6858401 Coordinates x=1051 px, y=430 px
1686393630.701387 Coordinates x=1080 px, y=414 px
1686393630.7165666 Coordinates x=1080 px, y=414 px
1686393630.7321784 Coordinates x=1080 px, y=414 px
1686393630.7473497 Coordinates x=1093 px, y=411 px
1686393630.7632983 Coordinates x=1093 px, y=411 px
1686393630.7789435 Coordinates x=1101 px, y=409 px
1686393630.7946956 Coordinates x=1101 px, y=409 px
1686393630.8097732 Coordinates x=1109 px, y=409 px
1686393630.8258936 Coordinates x=1109 px, y=409 px
1686393630.8410358 Coordinates x=1111 px, y=411 px
1686393630.8569877 Coordinates x=1111 px, y=411 px
1686393630.872315 Coordinates x=1111 px, y=411 px
1686393630.8875234 Coordinates x=1111 px, y=411 px
1686393630.9031513 Coordinates x=1110 px, y=411 px
1686393630.9185786 Coordinates x=1110 px, y=411 px
1686393630.9341462 Coordinates x=1106 px, y=411 px
1686393630.9497113 Coordinates x=1106 px, y=411 px
1686393630.965561 Coordinates x=1106 px, y=411 px
1686393630.9816813 Coordinates x=1106 px, y=411 px
1686393630.9977431 Coordinates x=1106 px, y=411 px
1686393631.0129895 Coordinates x=1109 px, y=408 px
1686393631.0285828 Coordinates x=1109 px, y=408 px
1686393631.0445104 Coordinates x=1118 px, y=405 px
1686393631.0603633 Coordinates x=1118 px, y=405 px
1686393631.0758965 Coordinates x=1131 px, y=397 px
1686393631.0914876 Coordinates x=1131 px, y=397 px
