1687688723.6947486 Coordinates x=1149 px, y=712 px
1687688723.7261305 Coordinates x=1149 px, y=712 px
1687688723.7407765 Coordinates x=1149 px, y=712 px
1687688723.7648678 Coordinates x=1149 px, y=712 px
1687688723.7830684 Coordinates x=1149 px, y=712 px
1687688723.8096116 Coordinates x=1149 px, y=712 px
1687688723.8257468 Coordinates x=1149 px, y=712 px
1687688723.8416145 Coordinates x=1176 px, y=715 px
1687688723.8574207 Coordinates x=949 px, y=673 px
1687688723.8730333 Coordinates x=921 px, y=671 px
1687688723.888629 Coordinates x=921 px, y=671 px
1687688723.9043393 Coordinates x=921 px, y=671 px
1687688723.920529 Coordinates x=921 px, y=671 px
1687688723.9361973 Coordinates x=921 px, y=671 px
1687688723.9519758 Coordinates x=921 px, y=671 px
1687688723.9676003 Coordinates x=921 px, y=671 px
1687688723.9832344 Coordinates x=902 px, y=671 px
1687688723.9987736 Coordinates x=893 px, y=672 px
1687688724.0148077 Coordinates x=893 px, y=672 px
1687688724.0304947 Coordinates x=893 px, y=672 px
1687688724.0461843 Coordinates x=893 px, y=672 px
1687688724.0617442 Coordinates x=893 px, y=672 px
1687688724.0774438 Coordinates x=893 px, y=672 px
1687688724.0930536 Coordinates x=893 px, y=672 px
1687688724.108667 Coordinates x=893 px, y=672 px
1687688724.1244147 Coordinates x=893 px, y=672 px
1687688724.140123 Coordinates x=893 px, y=672 px
1687688724.1557474 Coordinates x=893 px, y=672 px
1687688724.171341 Coordinates x=893 px, y=672 px
1687688724.1870139 Coordinates x=435 px, y=773 px
1687688724.2026303 Coordinates x=4 px, y=944 px
1687688724.2188594 Coordinates x=4 px, y=944 px
1687688724.2346942 Coordinates x=4 px, y=944 px
1687688724.2503262 Coordinates x=4 px, y=944 px
1687688724.2659435 Coordinates x=29 px, y=893 px
1687688724.281548 Coordinates x=84 px, y=744 px
1687688724.2971597 Coordinates x=107 px, y=657 px
1687688724.313386 Coordinates x=129 px, y=595 px
1687688724.3290317 Coordinates x=143 px, y=555 px
1687688724.3447926 Coordinates x=143 px, y=555 px
1687688724.3603806 Coordinates x=143 px, y=555 px
1687688724.3759947 Coordinates x=155 px, y=531 px
1687688724.39162 Coordinates x=158 px, y=522 px
1687688724.407317 Coordinates x=158 px, y=522 px
1687688724.4231167 Coordinates x=158 px, y=522 px
1687688724.4389603 Coordinates x=154 px, y=507 px
1687688724.4545922 Coordinates x=154 px, y=507 px
1687688724.4702158 Coordinates x=142 px, y=484 px
1687688724.4858263 Coordinates x=142 px, y=484 px
1687688724.5012617 Coordinates x=129 px, y=473 px
1687688724.5175622 Coordinates x=129 px, y=473 px
1687688724.5333824 Coordinates x=124 px, y=470 px
1687688724.5489907 Coordinates x=124 px, y=470 px
1687688724.564556 Coordinates x=114 px, y=467 px
1687688724.5802467 Coordinates x=114 px, y=467 px
1687688724.5958104 Coordinates x=106 px, y=462 px
1687688724.61157 Coordinates x=106 px, y=462 px
1687688724.6274025 Coordinates x=96 px, y=459 px
1687688724.6429453 Coordinates x=96 px, y=459 px
1687688724.6586723 Coordinates x=91 px, y=459 px
1687688724.6742806 Coordinates x=91 px, y=459 px
1687688724.6899104 Coordinates x=91 px, y=459 px
1687688724.705534 Coordinates x=91 px, y=458 px
1687688724.7214696 Coordinates x=91 px, y=458 px
1687688724.737224 Coordinates x=109 px, y=458 px
1687688724.7528582 Coordinates x=109 px, y=458 px
1687688724.7683892 Coordinates x=162 px, y=456 px
1687688724.7841258 Coordinates x=162 px, y=456 px
1687688724.7998123 Coordinates x=162 px, y=456 px
1687688724.8157012 Coordinates x=187 px, y=457 px
1687688724.8315203 Coordinates x=187 px, y=457 px
1687688724.847118 Coordinates x=212 px, y=481 px
1687688724.86269 Coordinates x=212 px, y=481 px
1687688724.8783348 Coordinates x=230 px, y=495 px
1687688724.894045 Coordinates x=230 px, y=495 px
1687688724.9096615 Coordinates x=238 px, y=501 px
1687688724.9259574 Coordinates x=238 px, y=501 px
1687688724.941736 Coordinates x=238 px, y=501 px
1687688724.957433 Coordinates x=238 px, y=501 px
1687688724.973109 Coordinates x=238 px, y=501 px
1687688724.988716 Coordinates x=243 px, y=506 px
1687688725.0043802 Coordinates x=259 px, y=527 px
1687688725.02056 Coordinates x=273 px, y=549 px
1687688725.0363007 Coordinates x=286 px, y=562 px
1687688725.0519154 Coordinates x=286 px, y=562 px
1687688725.0675628 Coordinates x=295 px, y=566 px
1687688725.083174 Coordinates x=295 px, y=566 px
1687688725.0987926 Coordinates x=300 px, y=569 px
1687688725.1150126 Coordinates x=300 px, y=569 px
1687688725.1308303 Coordinates x=309 px, y=571 px
1687688725.1464365 Coordinates x=309 px, y=571 px
1687688725.1619136 Coordinates x=309 px, y=571 px
1687688725.177689 Coordinates x=313 px, y=571 px
1687688725.1933198 Coordinates x=315 px, y=571 px
1687688725.208939 Coordinates x=315 px, y=571 px
1687688725.2251697 Coordinates x=316 px, y=571 px
1687688725.2410216 Coordinates x=316 px, y=571 px
1687688725.2566435 Coordinates x=313 px, y=574 px
1687688725.2722487 Coordinates x=313 px, y=574 px
1687688725.2878876 Coordinates x=305 px, y=574 px
1687688725.3034196 Coordinates x=305 px, y=574 px
1687688725.3192608 Coordinates x=294 px, y=572 px
1687688725.3350582 Coordinates x=294 px, y=572 px
1687688725.3506951 Coordinates x=294 px, y=572 px
1687688725.3663676 Coordinates x=282 px, y=568 px
1687688725.3819685 Coordinates x=282 px, y=568 px
1687688725.3976088 Coordinates x=266 px, y=565 px
1687688725.4134252 Coordinates x=266 px, y=565 px
1687688725.4291718 Coordinates x=255 px, y=561 px
1687688725.4448497 Coordinates x=255 px, y=561 px
1687688725.460519 Coordinates x=239 px, y=552 px
1687688725.476149 Coordinates x=239 px, y=552 px
1687688725.4917445 Coordinates x=238 px, y=548 px
1687688725.5073504 Coordinates x=238 px, y=548 px
1687688725.523658 Coordinates x=255 px, y=537 px
1687688725.5394726 Coordinates x=255 px, y=537 px
1687688725.555076 Coordinates x=255 px, y=537 px
1687688725.570652 Coordinates x=295 px, y=526 px
1687688725.586386 Coordinates x=295 px, y=526 px
1687688725.6018066 Coordinates x=343 px, y=520 px
1687688725.6178706 Coordinates x=343 px, y=520 px
1687688725.6335561 Coordinates x=380 px, y=519 px
1687688725.649173 Coordinates x=380 px, y=519 px
1687688725.6649623 Coordinates x=467 px, y=526 px
1687688725.6805935 Coordinates x=467 px, y=526 px
1687688725.6960325 Coordinates x=540 px, y=528 px
1687688725.7117887 Coordinates x=540 px, y=528 px
1687688725.7280426 Coordinates x=606 px, y=530 px
1687688725.7439196 Coordinates x=606 px, y=530 px
1687688725.7595215 Coordinates x=646 px, y=536 px
1687688725.7751498 Coordinates x=646 px, y=536 px
1687688725.7907999 Coordinates x=662 px, y=541 px
1687688725.806253 Coordinates x=662 px, y=541 px
1687688725.8225155 Coordinates x=675 px, y=540 px
1687688725.8382213 Coordinates x=675 px, y=540 px
1687688725.8537958 Coordinates x=687 px, y=537 px
1687688725.8694265 Coordinates x=687 px, y=537 px
1687688725.8852255 Coordinates x=687 px, y=537 px
1687688725.9008589 Coordinates x=719 px, y=534 px
1687688725.9171884 Coordinates x=719 px, y=534 px
1687688725.9330654 Coordinates x=719 px, y=534 px
1687688725.9486873 Coordinates x=771 px, y=529 px
1687688725.9643095 Coordinates x=816 px, y=528 px
1687688725.979912 Coordinates x=816 px, y=528 px
1687688725.9954915 Coordinates x=852 px, y=531 px
1687688726.011152 Coordinates x=852 px, y=531 px
1687688726.027048 Coordinates x=867 px, y=529 px
1687688726.0429246 Coordinates x=867 px, y=529 px
1687688726.058513 Coordinates x=876 px, y=527 px
1687688726.0741656 Coordinates x=876 px, y=527 px
1687688726.0897992 Coordinates x=888 px, y=527 px
1687688726.1054306 Coordinates x=888 px, y=527 px
1687688726.1211228 Coordinates x=888 px, y=527 px
1687688726.1368446 Coordinates x=897 px, y=528 px
1687688726.1525097 Coordinates x=933 px, y=531 px
1687688726.1680944 Coordinates x=933 px, y=531 px
1687688726.1838224 Coordinates x=979 px, y=533 px
1687688726.199451 Coordinates x=979 px, y=533 px
1687688726.2153668 Coordinates x=979 px, y=533 px
1687688726.2311728 Coordinates x=1026 px, y=535 px
1687688726.24683 Coordinates x=1026 px, y=535 px
1687688726.2622647 Coordinates x=1041 px, y=537 px
1687688726.2778924 Coordinates x=1041 px, y=537 px
1687688726.2937381 Coordinates x=1055 px, y=538 px
1687688726.309267 Coordinates x=1055 px, y=538 px
1687688726.3251758 Coordinates x=1071 px, y=538 px
1687688726.3410378 Coordinates x=1071 px, y=538 px
1687688726.3566585 Coordinates x=1088 px, y=539 px
1687688726.372259 Coordinates x=1088 px, y=539 px
