1687691412.0422323 Coordinates x=297 px, y=891 px
1687691412.0721684 Coordinates x=296 px, y=892 px
1687691412.0875797 Coordinates x=296 px, y=892 px
1687691412.1035788 Coordinates x=296 px, y=892 px
1687691412.1259067 Coordinates x=293 px, y=890 px
1687691412.1417594 Coordinates x=288 px, y=889 px
1687691412.157562 Coordinates x=288 px, y=889 px
1687691412.1731887 Coordinates x=279 px, y=889 px
1687691412.188814 Coordinates x=279 px, y=889 px
1687691412.2044609 Coordinates x=270 px, y=888 px
1687691412.2200592 Coordinates x=270 px, y=888 px
1687691412.2356331 Coordinates x=267 px, y=887 px
1687691412.2516563 Coordinates x=267 px, y=887 px
1687691412.2674844 Coordinates x=267 px, y=887 px
1687691412.2830865 Coordinates x=262 px, y=885 px
1687691412.2987115 Coordinates x=262 px, y=885 px
1687691412.3143773 Coordinates x=252 px, y=883 px
1687691412.3299901 Coordinates x=252 px, y=883 px
1687691412.345927 Coordinates x=246 px, y=879 px
1687691412.3617306 Coordinates x=246 px, y=879 px
1687691412.3772137 Coordinates x=242 px, y=874 px
1687691412.3929398 Coordinates x=242 px, y=874 px
1687691412.4086487 Coordinates x=355 px, y=757 px
1687691412.4242482 Coordinates x=355 px, y=757 px
1687691412.4394357 Coordinates x=584 px, y=529 px
1687691412.4552517 Coordinates x=584 px, y=529 px
1687691412.4708843 Coordinates x=626 px, y=477 px
1687691412.4865038 Coordinates x=626 px, y=477 px
1687691412.5021544 Coordinates x=657 px, y=426 px
1687691412.5175989 Coordinates x=657 px, y=426 px
1687691412.5334113 Coordinates x=678 px, y=401 px
1687691412.5492892 Coordinates x=678 px, y=401 px
1687691412.5651286 Coordinates x=678 px, y=401 px
1687691412.5807438 Coordinates x=684 px, y=387 px
1687691412.596395 Coordinates x=684 px, y=387 px
1687691412.611965 Coordinates x=686 px, y=377 px
1687691412.6274557 Coordinates x=686 px, y=377 px
1687691412.6431959 Coordinates x=685 px, y=366 px
1687691412.658941 Coordinates x=685 px, y=366 px
1687691412.6744678 Coordinates x=676 px, y=360 px
1687691412.6902893 Coordinates x=676 px, y=360 px
1687691412.7059052 Coordinates x=666 px, y=355 px
1687691412.7215362 Coordinates x=666 px, y=355 px
1687691412.7371528 Coordinates x=662 px, y=350 px
1687691412.7530782 Coordinates x=662 px, y=350 px
1687691412.7689302 Coordinates x=651 px, y=343 px
1687691412.7844498 Coordinates x=651 px, y=343 px
1687691412.8001425 Coordinates x=642 px, y=338 px
1687691412.815768 Coordinates x=642 px, y=338 px
1687691412.8314347 Coordinates x=642 px, y=338 px
1687691412.847345 Coordinates x=621 px, y=332 px
1687691412.8631954 Coordinates x=621 px, y=332 px
1687691412.8788102 Coordinates x=604 px, y=326 px
1687691412.8942645 Coordinates x=604 px, y=326 px
1687691412.9098673 Coordinates x=600 px, y=325 px
1687691412.9255965 Coordinates x=600 px, y=325 px
1687691412.9412138 Coordinates x=593 px, y=323 px
1687691412.9565716 Coordinates x=593 px, y=323 px
1687691412.9725657 Coordinates x=586 px, y=321 px
1687691412.988079 Coordinates x=586 px, y=321 px
1687691413.0040205 Coordinates x=586 px, y=321 px
1687691413.0195315 Coordinates x=585 px, y=321 px
1687691413.035455 Coordinates x=583 px, y=319 px
1687691413.0506501 Coordinates x=583 px, y=319 px
1687691413.0663543 Coordinates x=584 px, y=319 px
1687691413.0823512 Coordinates x=584 px, y=319 px
1687691413.098353 Coordinates x=584 px, y=319 px
1687691413.1134772 Coordinates x=607 px, y=314 px
1687691413.1288779 Coordinates x=607 px, y=314 px
1687691413.1449304 Coordinates x=637 px, y=311 px
1687691413.1605794 Coordinates x=637 px, y=311 px
1687691413.1757905 Coordinates x=661 px, y=312 px
1687691413.1917555 Coordinates x=661 px, y=312 px
1687691413.2074533 Coordinates x=683 px, y=318 px
1687691413.2226238 Coordinates x=683 px, y=318 px
1687691413.23839 Coordinates x=696 px, y=324 px
1687691413.254258 Coordinates x=696 px, y=324 px
1687691413.274578 Coordinates x=705 px, y=327 px
1687691413.2906027 Coordinates x=705 px, y=327 px
1687691413.3065996 Coordinates x=708 px, y=328 px
1687691413.3216283 Coordinates x=708 px, y=328 px
1687691413.3365788 Coordinates x=731 px, y=333 px
1687691413.3513806 Coordinates x=731 px, y=333 px
1687691413.366951 Coordinates x=793 px, y=342 px
1687691413.3819711 Coordinates x=793 px, y=342 px
1687691413.397641 Coordinates x=793 px, y=342 px
1687691413.4126797 Coordinates x=836 px, y=346 px
1687691413.428266 Coordinates x=836 px, y=346 px
1687691413.4437764 Coordinates x=853 px, y=348 px
1687691413.459543 Coordinates x=853 px, y=348 px
1687691413.4752617 Coordinates x=882 px, y=350 px
1687691413.4908822 Coordinates x=882 px, y=350 px
1687691413.5064979 Coordinates x=888 px, y=350 px
1687691413.5219052 Coordinates x=888 px, y=350 px
1687691413.5377495 Coordinates x=891 px, y=351 px
1687691413.5537581 Coordinates x=891 px, y=351 px
1687691413.5696373 Coordinates x=894 px, y=351 px
1687691413.5851634 Coordinates x=894 px, y=351 px
1687691413.6008937 Coordinates x=897 px, y=351 px
1687691413.616505 Coordinates x=897 px, y=351 px
1687691413.632094 Coordinates x=897 px, y=351 px
1687691413.647388 Coordinates x=899 px, y=351 px
1687691413.6625245 Coordinates x=899 px, y=351 px
1687691413.6785028 Coordinates x=901 px, y=351 px
1687691413.693888 Coordinates x=901 px, y=351 px
1687691413.7093177 Coordinates x=913 px, y=350 px
1687691413.724535 Coordinates x=913 px, y=350 px
1687691413.7405994 Coordinates x=942 px, y=349 px
1687691413.7560966 Coordinates x=942 px, y=349 px
1687691413.7717419 Coordinates x=962 px, y=349 px
1687691413.7877574 Coordinates x=962 px, y=349 px
1687691413.803118 Coordinates x=983 px, y=352 px
1687691413.8187776 Coordinates x=983 px, y=352 px
1687691413.8417199 Coordinates x=989 px, y=356 px
1687691413.8576696 Coordinates x=989 px, y=356 px
1687691413.8730676 Coordinates x=995 px, y=359 px
1687691413.8921294 Coordinates x=995 px, y=359 px
1687691413.907309 Coordinates x=1007 px, y=366 px
1687691413.9229445 Coordinates x=1007 px, y=366 px
1687691413.9420629 Coordinates x=1027 px, y=376 px
1687691413.9576507 Coordinates x=1027 px, y=376 px
1687691413.973489 Coordinates x=1097 px, y=397 px
1687691413.9922454 Coordinates x=1097 px, y=397 px
1687691414.007703 Coordinates x=1156 px, y=412 px
1687691414.0230854 Coordinates x=1156 px, y=412 px
1687691414.0423138 Coordinates x=1196 px, y=422 px
1687691414.0586507 Coordinates x=1196 px, y=422 px
1687691414.0745227 Coordinates x=1220 px, y=429 px
1687691414.0901625 Coordinates x=1220 px, y=429 px
1687691414.105781 Coordinates x=1230 px, y=434 px
1687691414.1213999 Coordinates x=1230 px, y=434 px
1687691414.13714 Coordinates x=1240 px, y=436 px
1687691414.1533408 Coordinates x=1240 px, y=436 px
1687691414.1685336 Coordinates x=1255 px, y=442 px
1687691414.1842837 Coordinates x=1255 px, y=442 px
1687691414.1994998 Coordinates x=1261 px, y=444 px
1687691414.2258391 Coordinates x=1261 px, y=444 px
1687691414.2412677 Coordinates x=1301 px, y=450 px
1687691414.2575002 Coordinates x=1301 px, y=450 px
1687691414.273345 Coordinates x=1350 px, y=444 px
1687691414.2889702 Coordinates x=1350 px, y=444 px
1687691414.3046055 Coordinates x=1383 px, y=439 px
1687691414.3202076 Coordinates x=1383 px, y=439 px
1687691414.3358364 Coordinates x=1409 px, y=431 px
1687691414.3518734 Coordinates x=1409 px, y=431 px
1687691414.3676717 Coordinates x=1431 px, y=420 px
1687691414.3835316 Coordinates x=1431 px, y=420 px
1687691414.3993988 Coordinates x=1431 px, y=420 px
1687691414.415034 Coordinates x=1434 px, y=417 px
1687691414.4306648 Coordinates x=1434 px, y=417 px
1687691414.4465683 Coordinates x=1399 px, y=411 px
1687691414.4624524 Coordinates x=1399 px, y=411 px
1687691414.4780252 Coordinates x=1315 px, y=410 px
1687691414.4935997 Coordinates x=1315 px, y=410 px
1687691414.5093231 Coordinates x=1229 px, y=411 px
1687691414.5249372 Coordinates x=1229 px, y=411 px
1687691414.540571 Coordinates x=1193 px, y=411 px
1687691414.5565195 Coordinates x=1193 px, y=411 px
1687691414.5723834 Coordinates x=1140 px, y=412 px
1687691414.5879848 Coordinates x=1140 px, y=412 px
1687691414.6036477 Coordinates x=1108 px, y=407 px
1687691414.619259 Coordinates x=1108 px, y=407 px
1687691414.6348963 Coordinates x=1108 px, y=407 px
1687691414.6507878 Coordinates x=1080 px, y=394 px
1687691414.6666815 Coordinates x=1062 px, y=390 px
1687691414.6822186 Coordinates x=1062 px, y=390 px
1687691414.6979117 Coordinates x=1062 px, y=390 px
1687691414.7135406 Coordinates x=1046 px, y=385 px
1687691414.7291615 Coordinates x=1046 px, y=385 px
1687691414.7447355 Coordinates x=1023 px, y=380 px
1687691414.7608123 Coordinates x=1023 px, y=380 px
1687691414.7765942 Coordinates x=1023 px, y=380 px
1687691414.7923286 Coordinates x=1023 px, y=380 px
1687691414.8078904 Coordinates x=1040 px, y=385 px
