1687083999.7602184 Coordinates x=761 px, y=385 px
1687083999.7820904 Coordinates x=757 px, y=388 px
1687083999.7981281 Coordinates x=757 px, y=388 px
1687083999.8142593 Coordinates x=755 px, y=389 px
1687083999.8302283 Coordinates x=755 px, y=389 px
1687083999.8456988 Coordinates x=753 px, y=389 px
1687083999.8606958 Coordinates x=753 px, y=389 px
1687083999.876315 Coordinates x=753 px, y=389 px
1687083999.8919177 Coordinates x=753 px, y=389 px
1687083999.9080498 Coordinates x=752 px, y=389 px
1687083999.9236617 Coordinates x=752 px, y=389 px
1687083999.9392166 Coordinates x=752 px, y=389 px
1687083999.955247 Coordinates x=753 px, y=389 px
1687083999.970764 Coordinates x=753 px, y=389 px
1687083999.9869747 Coordinates x=753 px, y=389 px
1687084000.0013561 Coordinates x=753 px, y=389 px
1687084000.0173485 Coordinates x=758 px, y=389 px
1687084000.033259 Coordinates x=758 px, y=389 px
1687084000.0496483 Coordinates x=769 px, y=386 px
1687084000.0649314 Coordinates x=769 px, y=386 px
1687084000.0808718 Coordinates x=785 px, y=382 px
1687084000.0962603 Coordinates x=785 px, y=382 px
1687084000.1116264 Coordinates x=796 px, y=376 px
1687084000.1272638 Coordinates x=796 px, y=376 px
1687084000.1425123 Coordinates x=802 px, y=374 px
1687084000.1578467 Coordinates x=802 px, y=374 px
1687084000.174067 Coordinates x=802 px, y=374 px
1687084000.1897442 Coordinates x=811 px, y=366 px
1687084000.2050185 Coordinates x=819 px, y=362 px
1687084000.2208347 Coordinates x=819 px, y=362 px
1687084000.2368228 Coordinates x=819 px, y=362 px
1687084000.2521338 Coordinates x=825 px, y=354 px
1687084000.2676525 Coordinates x=825 px, y=354 px
1687084000.2828224 Coordinates x=826 px, y=348 px
1687084000.298742 Coordinates x=826 px, y=348 px
1687084000.314518 Coordinates x=824 px, y=346 px
1687084000.3296247 Coordinates x=824 px, y=346 px
1687084000.3445866 Coordinates x=821 px, y=341 px
1687084000.360497 Coordinates x=821 px, y=341 px
1687084000.3760023 Coordinates x=814 px, y=337 px
1687084000.3920028 Coordinates x=814 px, y=337 px
1687084000.4073908 Coordinates x=811 px, y=335 px
1687084000.4229314 Coordinates x=811 px, y=335 px
1687084000.4385967 Coordinates x=811 px, y=335 px
1687084000.4541461 Coordinates x=866 px, y=333 px
1687084000.4694247 Coordinates x=866 px, y=333 px
1687084000.4850693 Coordinates x=926 px, y=328 px
1687084000.5008535 Coordinates x=926 px, y=328 px
1687084000.5169725 Coordinates x=969 px, y=322 px
1687084000.5321696 Coordinates x=969 px, y=322 px
1687084000.548637 Coordinates x=995 px, y=318 px
1687084000.564663 Coordinates x=995 px, y=318 px
1687084000.5807135 Coordinates x=1013 px, y=311 px
1687084000.5964925 Coordinates x=1013 px, y=311 px
1687084000.612256 Coordinates x=1049 px, y=305 px
1687084000.6272492 Coordinates x=1049 px, y=305 px
1687084000.6432974 Coordinates x=1058 px, y=305 px
1687084000.6589725 Coordinates x=1058 px, y=305 px
1687084000.6743476 Coordinates x=1058 px, y=305 px
1687084000.6903284 Coordinates x=1085 px, y=310 px
1687084000.706244 Coordinates x=1085 px, y=310 px
1687084000.7218435 Coordinates x=1092 px, y=314 px
1687084000.737223 Coordinates x=1092 px, y=314 px
1687084000.7529562 Coordinates x=1098 px, y=316 px
1687084000.7684555 Coordinates x=1098 px, y=316 px
1687084000.7834988 Coordinates x=1099 px, y=315 px
1687084000.7987788 Coordinates x=1099 px, y=315 px
1687084000.8141325 Coordinates x=1136 px, y=304 px
1687084000.8298187 Coordinates x=1136 px, y=304 px
1687084000.8454082 Coordinates x=1245 px, y=297 px
1687084000.8607159 Coordinates x=1245 px, y=297 px
1687084000.875684 Coordinates x=1245 px, y=297 px
1687084000.8913188 Coordinates x=1284 px, y=298 px
1687084000.9062583 Coordinates x=1284 px, y=298 px
1687084000.921692 Coordinates x=1322 px, y=304 px
1687084000.9371462 Coordinates x=1322 px, y=304 px
1687084000.9527743 Coordinates x=1348 px, y=308 px
1687084000.9685555 Coordinates x=1348 px, y=308 px
1687084000.9848049 Coordinates x=1364 px, y=306 px
1687084001.0007606 Coordinates x=1364 px, y=306 px
1687084001.016334 Coordinates x=1390 px, y=299 px
1687084001.0321748 Coordinates x=1390 px, y=299 px
1687084001.0473828 Coordinates x=1389 px, y=298 px
1687084001.0627303 Coordinates x=1389 px, y=298 px
1687084001.078178 Coordinates x=1381 px, y=295 px
1687084001.0940545 Coordinates x=1381 px, y=295 px
1687084001.1100585 Coordinates x=1367 px, y=287 px
1687084001.1253448 Coordinates x=1367 px, y=287 px
1687084001.141255 Coordinates x=1367 px, y=287 px
1687084001.1571183 Coordinates x=1355 px, y=287 px
1687084001.172379 Coordinates x=1355 px, y=287 px
1687084001.1875722 Coordinates x=1347 px, y=288 px
1687084001.2034085 Coordinates x=1347 px, y=288 px
1687084001.2194932 Coordinates x=1319 px, y=291 px
1687084001.2351186 Coordinates x=1319 px, y=291 px
1687084001.2501633 Coordinates x=1275 px, y=296 px
1687084001.2651412 Coordinates x=1275 px, y=296 px
1687084001.2806463 Coordinates x=1255 px, y=298 px
1687084001.2964995 Coordinates x=1255 px, y=298 px
1687084001.3120031 Coordinates x=1243 px, y=301 px
1687084001.3272343 Coordinates x=1243 px, y=301 px
1687084001.3424602 Coordinates x=1225 px, y=307 px
1687084001.3578565 Coordinates x=1225 px, y=307 px
1687084001.3729951 Coordinates x=1225 px, y=307 px
1687084001.3885415 Coordinates x=1207 px, y=307 px
1687084001.4036539 Coordinates x=1207 px, y=307 px
1687084001.419129 Coordinates x=1200 px, y=308 px
1687084001.4347837 Coordinates x=1200 px, y=308 px
1687084001.4505432 Coordinates x=1198 px, y=308 px
1687084001.466268 Coordinates x=1198 px, y=308 px
1687084001.48176 Coordinates x=1197 px, y=308 px
1687084001.4975808 Coordinates x=1197 px, y=308 px
1687084001.5127852 Coordinates x=1197 px, y=307 px
1687084001.528049 Coordinates x=1197 px, y=307 px
1687084001.5443952 Coordinates x=1199 px, y=309 px
1687084001.5599058 Coordinates x=1199 px, y=309 px
1687084001.5755334 Coordinates x=1202 px, y=308 px
1687084001.5912573 Coordinates x=1202 px, y=308 px
1687084001.6064878 Coordinates x=1206 px, y=308 px
1687084001.6219876 Coordinates x=1206 px, y=308 px
1687084001.6372046 Coordinates x=1206 px, y=308 px
1687084001.6530597 Coordinates x=1272 px, y=307 px
1687084001.6681163 Coordinates x=1272 px, y=307 px
1687084001.683764 Coordinates x=1338 px, y=307 px
1687084001.6996224 Coordinates x=1338 px, y=307 px
1687084001.7151616 Coordinates x=1446 px, y=303 px
1687084001.7308843 Coordinates x=1446 px, y=303 px
1687084001.74652 Coordinates x=1492 px, y=308 px
1687084001.7618234 Coordinates x=1492 px, y=308 px
1687084001.7779922 Coordinates x=1513 px, y=306 px
1687084001.793875 Coordinates x=1513 px, y=306 px
1687084001.8092504 Coordinates x=1513 px, y=306 px
1687084001.825294 Coordinates x=1513 px, y=306 px
1687084001.8405933 Coordinates x=1513 px, y=306 px
1687084001.856325 Coordinates x=1513 px, y=307 px
1687084001.8723712 Coordinates x=1513 px, y=307 px
1687084001.887494 Coordinates x=1513 px, y=307 px
1687084001.9029527 Coordinates x=1513 px, y=307 px
1687084001.9184618 Coordinates x=1512 px, y=308 px
1687084001.933724 Coordinates x=1512 px, y=308 px
1687084001.9492302 Coordinates x=1511 px, y=308 px
1687084001.964247 Coordinates x=1511 px, y=308 px
1687084001.9794264 Coordinates x=1506 px, y=308 px
1687084001.99483 Coordinates x=1506 px, y=308 px
1687084002.0104787 Coordinates x=1503 px, y=308 px
1687084002.0261066 Coordinates x=1503 px, y=308 px
1687084002.0411048 Coordinates x=1503 px, y=308 px
1687084002.0567117 Coordinates x=1494 px, y=309 px
