1687012866.8160074 Coordinates x=110 px, y=717 px
1687012866.8368492 Coordinates x=107 px, y=726 px
1687012866.852729 Coordinates x=107 px, y=726 px
1687012866.8679342 Coordinates x=106 px, y=743 px
1687012866.8836527 Coordinates x=106 px, y=743 px
1687012866.8992329 Coordinates x=106 px, y=743 px
1687012866.9147456 Coordinates x=104 px, y=764 px
1687012866.930113 Coordinates x=104 px, y=764 px
1687012866.9463987 Coordinates x=101 px, y=779 px
1687012866.9619837 Coordinates x=101 px, y=779 px
1687012866.9767792 Coordinates x=100 px, y=793 px
1687012866.992712 Coordinates x=100 px, y=793 px
1687012867.008221 Coordinates x=97 px, y=811 px
1687012867.0242634 Coordinates x=97 px, y=811 px
1687012867.0392327 Coordinates x=95 px, y=819 px
1687012867.0544872 Coordinates x=95 px, y=819 px
1687012867.069698 Coordinates x=94 px, y=823 px
1687012867.085124 Coordinates x=94 px, y=823 px
1687012867.100846 Coordinates x=90 px, y=830 px
1687012867.11608 Coordinates x=90 px, y=830 px
1687012867.1315362 Coordinates x=89 px, y=836 px
1687012867.1474657 Coordinates x=89 px, y=836 px
1687012867.1625996 Coordinates x=89 px, y=836 px
1687012867.178284 Coordinates x=488 px, y=664 px
1687012867.193287 Coordinates x=488 px, y=664 px
1687012867.2084403 Coordinates x=888 px, y=505 px
1687012867.2239602 Coordinates x=888 px, y=505 px
1687012867.239903 Coordinates x=957 px, y=472 px
1687012867.255583 Coordinates x=957 px, y=472 px
1687012867.2707765 Coordinates x=1017 px, y=431 px
1687012867.2867544 Coordinates x=1017 px, y=431 px
1687012867.3022902 Coordinates x=1032 px, y=416 px
1687012867.3182607 Coordinates x=1032 px, y=416 px
1687012867.3342857 Coordinates x=1051 px, y=398 px
1687012867.3496175 Coordinates x=1051 px, y=398 px
1687012867.3648412 Coordinates x=1051 px, y=398 px
1687012867.380615 Coordinates x=1054 px, y=344 px
1687012867.3960044 Coordinates x=1054 px, y=344 px
1687012867.4122024 Coordinates x=1055 px, y=302 px
1687012867.4273984 Coordinates x=1055 px, y=302 px
1687012867.443131 Coordinates x=1057 px, y=282 px
1687012867.4591367 Coordinates x=1057 px, y=282 px
1687012867.4751377 Coordinates x=1066 px, y=244 px
1687012867.4902074 Coordinates x=1066 px, y=244 px
1687012867.5061743 Coordinates x=1074 px, y=217 px
1687012867.5216146 Coordinates x=1074 px, y=217 px
1687012867.537562 Coordinates x=1079 px, y=208 px
1687012867.5535257 Coordinates x=1079 px, y=208 px
1687012867.5689638 Coordinates x=1098 px, y=201 px
1687012867.5850093 Coordinates x=1098 px, y=201 px
1687012867.6002347 Coordinates x=1098 px, y=201 px
1687012867.6156392 Coordinates x=1109 px, y=197 px
1687012867.630641 Coordinates x=1109 px, y=197 px
1687012867.645665 Coordinates x=1111 px, y=192 px
1687012867.6612434 Coordinates x=1111 px, y=192 px
1687012867.6764035 Coordinates x=1124 px, y=182 px
1687012867.6922874 Coordinates x=1124 px, y=182 px
1687012867.7077904 Coordinates x=1140 px, y=176 px
1687012867.7234848 Coordinates x=1140 px, y=176 px
1687012867.7386906 Coordinates x=1180 px, y=167 px
1687012867.7540824 Coordinates x=1180 px, y=167 px
1687012867.7693493 Coordinates x=1232 px, y=160 px
1687012867.7854614 Coordinates x=1232 px, y=160 px
1687012867.8002472 Coordinates x=1232 px, y=160 px
1687012867.8162665 Coordinates x=1233 px, y=159 px
1687012867.8319988 Coordinates x=1233 px, y=159 px
1687012867.847939 Coordinates x=1229 px, y=158 px
1687012867.8639035 Coordinates x=1229 px, y=158 px
1687012867.879525 Coordinates x=1197 px, y=158 px
1687012867.8958764 Coordinates x=1197 px, y=158 px
